ID,Offense,Arrests_Adult,Arrests_Juvenile,Offenses_Reported,Offenses_Cleared,Classification,Year
289,Motor Vehicle Theft,384,76,"7,054",685,A: Crimes Against Property,2020
290,Stolen Property Offenses,572,100,"1,781",947,A: Crimes Against Property,2020
291,Drug/Narcotic Violations,"5,072",88,"8,848","5,965",A: Crimes Against Society,2020
292,Drug Equipment Violations,4,1,181,93,A: Crimes Against Society,2020
293,Betting/Wagering,0,0,4,0,A: Crimes Against Society,2020
294,Operating/Promoting/Assisting Gambling,10,0,54,34,A: Crimes Against Society,2020
295,Gambling Equipment Violations,0,0,1,0,A: Crimes Against Society,2020
296,Sports Tampering,0,0,0,0,A: Crimes Against Society,2020
297,Pornography/Obscene Material,83,32,923,153,A: Crimes Against Society,2020
298,Prostitution,93,0,134,82,A: Crimes Against Society,2020
299,Assisting or Promoting Prostitution,6,0,23,9,A: Crimes Against Society,2020
300,Purchasing Prostitution,0,0,1,1,A: Crimes Against Society,2020
301,Weapon Law Violations,969,87,"3,339","1,802",A: Crimes Against Society,2020
302,Animal Cruelty,14,0,116,28,A: Crimes Against Society,2020
303,Total Group A Offenses,"37,830","2,407","250,423","55,090",A: Crimes Against Society,2020
304,Bad Checks,28,0,,,B,2020
305,Curfew/Loitering/Vagrancy Violations,9,0,,,B,2020
306,Disorderly Conduct,"2,096",98,,,B,2020
307,Driving Under the Influence,"5,197",30,,,B,2020
308,Drunkenness,"2,442",9,,,B,2020
309,Family Offenses (Nonviolent),"1,084",15,,,B,2020
310,Liquor Law Violations,497,67,,,B,2020
311,Peeping Tom,3,0,,,B,2020
312,Trespass of Real Property,"1,387",83,,,B,2020
313,All Other Offenses,"23,437",649,,,B,2020
314,Total Group B,"36,180",951,,,B,2020
